airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-06-15,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No info,5601
Jet Airways,2019-05-09,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No info,15554
Spicejet,2019-05-18,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No info,2227
Indigo,2019-05-06,Kolkata,Banglore,08:10:00,13:00:00,290,1.0,No info,5069
Air India,2019-03-21,Delhi,Cochin,23:00:00,19:15:00,1215,1.0,No info,6745
Air Asia,2019-05-01,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No info,4282
Jet Airways,2019-06-27,Delhi,Cochin,09:25:00,04:25:00,1140,2.0,No info,13882
Spicejet,2019-03-09,Mumbai,Hyderabad,08:50:00,10:15:00,85,0.0,No info,5755
Multiple Carriers,2019-05-15,Delhi,Cochin,06:00:00,21:00:00,900,1.0,No info,7670
Air India,2019-06-06,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No info,4145
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,09:45:00,1005,1.0,In-flight meal not included,9314
Jet Airways,2019-03-03,Banglore,New Delhi,08:00:00,07:40:00,1420,1.0,In-flight meal not included,13502
Jet Airways,2019-05-03,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No info,7229
Air India,2019-04-01,Kolkata,Banglore,09:50:00,23:15:00,805,2.0,No info,12125
Indigo,2019-04-12,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No info,5224
Jet Airways,2019-06-12,Delhi,Cochin,19:45:00,04:25:00,520,1.0,In-flight meal not included,10262
Spicejet,2019-06-21,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No info,3873
Jet Airways,2019-06-24,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No info,18371
Indigo,2019-05-09,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No info,8330
Jet Airways,2019-03-21,Delhi,Cochin,18:25:00,04:25:00,2040,2.0,No info,12347
Air India,2019-05-09,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No info,6094
Air India,2019-05-09,Kolkata,Banglore,14:30:00,08:55:00,1105,2.0,No info,14214
Multiple Carriers,2019-05-09,Delhi,Cochin,10:20:00,21:00:00,640,1.0,No info,7670
Multiple Carriers,2019-05-21,Delhi,Cochin,09:45:00,00:55:00,910,1.0,No info,9486
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,14:25:00,1285,1.0,In-flight meal not included,10539
Multiple Carriers,2019-05-27,Delhi,Cochin,07:05:00,19:15:00,730,1.0,In-flight meal not included,12717
Spicejet,2019-04-06,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No info,3873
Jet Airways,2019-05-15,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,In-flight meal not included,11841
Air India,2019-05-21,Delhi,Cochin,18:45:00,19:15:00,1470,2.0,No info,12257
Spicejet,2019-06-09,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Goair,2019-03-06,Delhi,Cochin,14:10:00,19:20:00,310,1.0,No info,19495
Multiple Carriers,2019-05-06,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No info,13727
Jet Airways,2019-06-27,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No info,15339
Air India,2019-03-27,Delhi,Cochin,12:00:00,19:15:00,435,2.0,No info,10493
Jet Airways,2019-06-18,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No info,8016
Jet Airways,2019-06-27,Delhi,Cochin,13:25:00,19:00:00,1775,2.0,In-flight meal not included,11150
Indigo,2019-06-09,Delhi,Cochin,14:20:00,22:30:00,490,1.0,No info,6938
Indigo,2019-05-24,Kolkata,Banglore,06:20:00,10:20:00,240,1.0,No info,4226
Jet Airways,2019-05-21,Delhi,Cochin,14:00:00,19:00:00,300,1.0,In-flight meal not included,12898
Jet Airways,2019-03-06,Mumbai,Hyderabad,17:00:00,16:50:00,1430,1.0,No info,19595
Air India,2019-03-09,Banglore,New Delhi,06:50:00,08:50:00,1560,1.0,No info,5626
Indigo,2019-04-12,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No info,4488
Indigo,2019-03-15,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No info,6297
Indigo,2019-06-12,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No info,3540
Air India,2019-06-24,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No info,8839
Jet Airways,2019-06-12,Kolkata,Banglore,06:30:00,19:50:00,800,1.0,No info,13626
Jet Airways,2019-06-09,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,7229
Jet Airways,2019-03-15,Banglore,New Delhi,11:40:00,08:15:00,1235,1.0,In-flight meal not included,9134
Air India,2019-03-27,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No info,6902
Multiple Carriers,2019-05-06,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No info,8073
Jet Airways,2019-06-27,Delhi,Cochin,19:10:00,12:35:00,1045,2.0,No info,12819
Jet Airways,2019-06-27,Delhi,Cochin,15:00:00,12:35:00,1295,1.0,In-flight meal not included,10262
Jet Airways,2019-05-06,Kolkata,Banglore,06:30:00,10:05:00,1655,1.0,In-flight meal not included,8586
